Date,Study_Turbidity_NTU,Nitrate_mgL,Nitrite_mgL,Ammonium_mgL,Calcium_mgL,Magnesium_mgL,EO_Chlorophyll_A,EO_Turbidity,EO_Surface_Temp,EO_Total_Suspended_Matter,Is_Study_Actual,Is_EO_Actual,Is_Summer,Month,Quarter,EO_Turbidity_Lag1,EO_Turbidity_Lag2,Rolling_EO_Chl_A_7d,Rolling_EO_Turbidity_7d,Delta_EO_Temp_3d,Nutrient_Pressure_Index,Bloom_Potential_Feature,Bloom_Risk_Score,Eutrophication_Risk_Score,Water_Quality_Score,Alert_Level,Predicted_InSitu_Turbidity
2023-06-30,,,,,,,27.027793884277344,9.4754056930542,21.966044340902325,5.278456211090088,0,1,1,6,2,,,27.027793884277344,9.4754056930542,0.0,1.9572157348019435e-05,0.39015716003245093,39.015716003245096,0.0019572157348019437,52.06533775449441,Low,8.054094839096068
2023-07-10,,,,,,,29.9410400390625,9.456814765930176,21.479896823714036,5.305814266204834,0,1,1,7,3,9.4754056930542,,28.484416961669922,9.466110229492188,0.0,2.4164527995743675e-05,0.3821530034788367,38.21530034788367,0.0024164527995743676,52.52118059242777,Low,8.03829255104065
2023-07-15,,,,,,,30.629404067993164,8.629478454589844,22.33513241895327,5.151961803436279,0,1,1,7,3,9.456814765930176,9.4754056930542,29.199412663777668,9.187232971191406,0.0,2.524964837124573e-05,0.3962394945229089,39.623949452290894,0.002524964837124573,54.29883242063388,Low,7.335056686401367
2023-07-17,,,,,,,16.51706314086914,11.850302696228027,22.38936454940458,6.101605415344238,0,1,1,7,3,8.629478454589844,9.456814765930176,26.028825283050537,9.853000402450562,0.42332020850225405,3.0032960889473084e-06,0.3971193568575178,39.71193568575178,0.00030032960889473086,44.59303396955736,Low,10.072757291793822
2023-08-04,,,,,,,31.332380294799805,8.414386749267578,19.951737966803677,5.0970611572265625,0,1,1,8,3,11.850302696228027,8.629478454589844,27.089536285400392,9.565277671813964,-1.528158856910359,2.635780306141225e-05,0.3569853470229159,35.69853470229159,0.0026357803061412247,56.906781666959624,Low,7.152228736877441
2023-08-14,,,,,,,37.14242172241211,7.825596809387207,19.265160631255757,5.056475639343262,0,1,1,8,3,8.414386749267578,11.850302696228027,28.76501719156901,9.275330861409506,-3.0699717876975114,3.5516611585162386e-05,0.3456828255104835,34.56828255104835,0.0035516611585162386,59.238002797966644,Low,6.651757287979126
2023-08-21,,,,,,,17.686172485351562,11.63332748413086,19.095922131967743,5.563868999481201,0,1,1,8,3,7.825596809387207,8.414386749267578,27.182325090680802,9.61218752179827,-3.293442417436836,4.846251730976518e-06,0.342877043499674,34.2877043499674,0.00048462517309765175,47.95601998507179,Low,9.88832836151123
2023-08-26,,,,,,,33.25469207763672,8.971832275390625,18.16125342647194,5.091583728790283,0,1,1,8,3,11.63332748413086,7.825596809387207,28.071881975446427,9.540248462132045,-1.790484540331736,2.938808877646393e-05,0.3274976551136474,32.74976551136474,0.002938808877646393,56.70873877548246,Low,7.626057434082031
2023-09-08,,,,,,,35.854618072509766,8.678691864013672,16.18434811343809,5.061233997344971,0,1,0,9,3,8.971832275390625,11.63332748413086,28.916678837367467,9.429088047572545,-3.080812517817666,3.3486549116143246e-05,0.294940230066811,29.494023006681104,0.0033486549116143248,59.21590830814495,Low,7.376888084411621
2023-09-10,,,,,,,33.93643951416016,8.867389678955078,15.40875052151749,5.085956573486328,0,1,0,9,3,8.678691864013672,8.971832275390625,29.38911247253418,9.463075365339007,-3.687171610450253,3.0462778916021466e-05,0.2821642239642691,28.21642239642691,0.0030462778916021467,59.28870588155383,Low,7.537281227111817
2023-09-13,,,,,,,29.201417922973636,9.396217346191406,15.725924399637355,5.1462883949279785,0,1,0,9,3,8.867389678955078,8.678691864013672,31.201163155691965,9.112491743905204,-2.4353290268345855,2.299860561367683e-05,0.28738363992318916,28.738363992318916,0.002299860561367683,57.44147600709792,Low,7.986784744262695
2023-09-18,,,,,,,31.7254695892334,9.166772842407228,14.729460736471685,5.103509902954102,0,1,0,9,3,9.396217346191406,8.867389678955078,31.25731876918248,9.219975471496582,-1.454887376966406,2.697745950023611e-05,0.2709741428667634,27.09741428667634,0.0026977459500236107,58.95016500565514,Low,7.791756916046144
